Date,Sales
2022-01-01,104.97
2022-01-02,99.53
2022-01-03,108.31
2022-01-04,117.98
2022-01-05,101.32
2022-01-06,102.23
2022-01-07,121.27
2022-01-08,114.05
2022-01-09,102.58
2022-01-10,113.59
2022-01-11,104.41
2022-01-12,105.27
2022-01-13,113.21
2022-01-14,92.52
2022-01-15,95.25
2022-01-16,107.72
2022-01-17,104.04
2022-01-18,118.13
2022-01-19,106.72
2022-01-20,102.47
2022-01-21,132.03
2022-01-22,115.88
2022-01-23,119.57
2022-01-24,105.38
2022-01-25,114.91
2022-01-26,122.17
2022-01-27,110.24
2022-01-28,126.18
2022-01-29,117.07
2022-01-30,120.8
2022-01-31,118.32
2022-02-01,143.46
2022-02-02,125.39
2022-02-03,115.51
2022-02-04,134.85
2022-02-05,114.94
2022-02-06,129.74
2022-02-07,108.54
2022-02-08,115.31
2022-02-09,131.0
2022-02-10,136.84
2022-02-11,131.56
2022-02-12,129.07
2022-02-13,127.56
2022-02-14,116.12
2022-02-15,124.02
2022-02-16,126.89
2022-02-17,142.34
2022-02-18,135.44
2022-02-19,114.6
2022-02-20,135.66
2022-02-21,128.75
2022-02-22,125.98
2022-02-23,139.0
2022-02-24,143.3
2022-02-25,142.39
2022-02-26,124.76
2022-02-27,130.1
2022-02-28,136.53
2022-03-01,142.98
2022-03-02,128.41
2022-03-03,131.31
2022-03-04,122.05
2022-03-05,121.07
2022-03-06,141.06
2022-03-07,146.39
2022-03-08,131.97
2022-03-09,142.57
2022-03-10,135.99
2022-03-11,125.73
2022-03-12,135.6
2022-03-13,147.15
2022-03-14,131.17
2022-03-15,146.93
2022-03-16,104.82
2022-03-17,138.96
2022-03-18,131.32
2022-03-19,127.16
2022-03-20,130.75
2022-03-21,109.63
2022-03-22,126.97
2022-03-23,132.39
2022-03-24,143.24
2022-03-25,122.92
2022-03-26,119.64
2022-03-27,122.33
2022-03-28,136.11
2022-03-29,129.85
2022-03-30,120.87
2022-03-31,130.89
2022-04-01,126.32
2022-04-02,134.63
2022-04-03,117.51
2022-04-04,120.83
2022-04-05,119.77
2022-04-06,108.64
2022-04-07,125.82
2022-04-08,125.06
2022-04-09,122.09
2022-04-10,119.28
2022-04-11,107.07
2022-04-12,116.61
2022-04-13,116.99
2022-04-14,112.01
2022-04-15,118.03
2022-04-16,123.31
2022-04-17,137.76
2022-04-18,120.28
2022-04-19,120.76
2022-04-20,117.1
2022-04-21,98.32
2022-04-22,116.92
2022-04-23,117.48
2022-04-24,141.21
2022-04-25,114.37
2022-04-26,119.04
2022-04-27,115.43
2022-04-28,103.84
2022-04-29,126.73
2022-04-30,122.61
2022-05-01,122.81
2022-05-02,105.63
2022-05-03,128.59
2022-05-04,100.4
2022-05-05,120.17
2022-05-06,136.1
2022-05-07,104.2
2022-05-08,108.38
2022-05-09,114.99
2022-05-10,108.93
2022-05-11,98.45
2022-05-12,114.66
2022-05-13,103.39
2022-05-14,118.8
2022-05-15,104.95
2022-05-16,129.74
2022-05-17,106.53
2022-05-18,111.28
2022-05-19,122.8
2022-05-20,102.55
2022-05-21,117.34
2022-05-22,128.37
2022-05-23,99.47
2022-05-24,117.67
2022-05-25,118.72
2022-05-26,124.26
2022-05-27,104.41
2022-05-28,103.94
2022-05-29,122.75
2022-05-30,120.91
2022-05-31,120.87
2022-06-01,122.28
2022-06-02,112.49
2022-06-03,122.1
2022-06-04,123.22
2022-06-05,113.68
2022-06-06,140.04
2022-06-07,126.69
2022-06-08,110.63
2022-06-09,129.72
2022-06-10,114.04
2022-06-11,132.3
2022-06-12,136.68
2022-06-13,117.57
2022-06-14,136.11
2022-06-15,131.32
2022-06-16,136.14
2022-06-17,147.63
2022-06-18,126.97
2022-06-19,122.66
2022-06-20,122.09
2022-06-21,123.63
2022-06-22,131.83
2022-06-23,136.84
2022-06-24,137.03
2022-06-25,143.38
2022-06-26,136.09
2022-06-27,151.36
2022-06-28,135.05
2022-06-29,165.78
2022-06-30,145.72
2022-07-01,131.79
2022-07-02,130.55
2022-07-03,146.99
2022-07-04,140.84
2022-07-05,151.12
2022-07-06,149.63
2022-07-07,145.08
2022-07-08,138.26
2022-07-09,132.5
2022-07-10,144.1
2022-07-11,158.04
2022-07-12,152.53
2022-07-13,138.84
2022-07-14,153.94
2022-07-15,156.97
2022-07-16,145.17
2022-07-17,156.44
2022-07-18,156.37
2022-07-19,145.24
2022-07-20,161.12
2022-07-21,164.02
2022-07-22,170.1
2022-07-23,170.65
2022-07-24,147.17
2022-07-25,152.39
2022-07-26,167.73
2022-07-27,168.52
2022-07-28,169.32
2022-07-29,203.47
2022-07-30,171.41
2022-07-31,177.81
2022-08-01,176.72
2022-08-02,174.41
2022-08-03,165.44
2022-08-04,176.87
2022-08-05,162.21
2022-08-06,168.22
2022-08-07,166.36
2022-08-08,172.65
